Spanish,English
de,of
que,that
no,No
a,a
la,the
el,the
ser,be
y,Y
en,in
lo,it
un,a
por,by
me,I
qué,what
te,tea
se,I know
con,with
para,for
mi,me
estar,be
si,Yes
pero,but
su,its
yo,me
tu,your
del,of
al,to the
como,What
le,you
eso,it's
sí,Yes
este,East
ya,Already
más,plus
muy,very
haber,to have
bien,right
todo,all
nos,us
tener,to have
cuando,when
solo,only
ir,to go
o,either
poder,can
esto,this
querer,want
aquí,here
tú,your
ahora,now
algo,something
así,So
saber,to know
ese,that
bueno,Okay
creer,believe
tan,so
porque,because
donde,where
hacer,do
quién,who
nunca,never
nada,any
él,the
vez,time
hace,does
ella,she
dos,two
sin,without
hasta,until
señor,mister
entonces,then
dios,god
sobre,on
usted,you
ni,neither
mejor,better
mucho,much
gracias,Thank you
ver,watch
hola,hello
les,them
sentir,feel
alguien,someone
otro,other
siempre,forever
hombre,men
uno,one
parecer,look
antes,before
mirar,look at
tal,such
decir,tell
ahí,there
poco,little bit
nadie,no one
desde,since
también,also
tiempo,weather
grande,great
favor,favour
casa,House
gente,people
cosa,stuff
día,day
deber,have to
necesitar,need
después,after
hecho,done
nuestro,our
vida,life
quien,who
hablar,speak
ellos,they
tipo,Type
fuera,outside
estado,condition
menos,less
tres,three
cada,each
padre,dad
año,year
hijo,son
nosotros,us
claro,Sure
aún,even
seguro,sure
gustar,like
esperar,expect
trabajo,worked
lugar,place
verdad,TRUE
pasar,spend
alguno,some
unos,some
luego,later
mas,plus
oír,hear
quizá,Maybe
mí,my
ti,you
mismo,same
algún,some
noche,night
mundo,world
visto,viewed
nombre,Name
realmente,Really
entre,Come in
buenas,good
parte,part
pues,well
casi,almost
amigo,dude
hora,hour
quizás,maybe
dinero,money
hacia,towards
demasiado,too
pensar,to think
madre,mother
dejar,let
hoy,today
contra,against
primera,first
mientras,while
cualquier,any
nuevo,new
todavía,yet
mal,wrong
tanto,so much
salir,leave
mujer,woman
nueva,new
momento,moment
papá,father
dar,to give
importar,to import
cuánto,how many
cuál,which
mañana,morning
mamá,breast
ninguno,none
doctor,doctor
durante,during
mierda,shit
forma,form
allí,over there
único,unique
seguir,continue
bajo,bass
acuerdo,agreement
volver,return
suponer,suppose
toma,taking
siquiera,even
chica,girl
aunque,though
idea,idea
ay,Oh
dicho,saying
venir,to come
allá,there
significar,to mean
tomar,drink
señora,Mrs
dentro,within
primero,first
llamar,to call
e,and
diablo,Devil
fin,finish
maldito,damned
habla,speech
policía,policeman
último,latest
lado,side
razón,reason
cuenta,bill
amor,love
justo,just
chico,boy
llegar,get
cuándo,when
OK,okay
cinco,five
valer,to worth
problema,issue
mío,Own
familia,family
viejo,old
escuchar,listen
pasado,past
cuidado,watch out
persona,person
tarde,afternoon
caso,case
adonde,where to
cuanto,how much
cerca,close
pequeño,little
mano,hand
encontrar,find
quedar,stay
historia,history
número,number
suerte,luck
cual,which
feliz,happy
pronto,early
par,pair
igual,Same
cuatro,four
clase,class
tratar,treat
capitán,captain
cierto,certain
señorita,Miss
hermano,brother
manera,way
puerta,gate
os,you
bastante,Quite
ciudad,city
matar,to kill
esposa,wife
camino,road
cabeza,head
conocer,know
niño,little boy
cariño,sweetie
vino,came
jefe,boss
miedo,fear
medio,medium
equipo,equipment
entrar,get in
muerte,death
acerca,about
punto,point
vivir,to live
realidad,reality
llevar,wear
guerra,war
sangre,blood
conmigo,with me
rápido,Quick
seis,six
además,what's more
listo,clever
adiós,bye
entender,to understand
ojo,eye
minuto,minute
mayor,elderly
semana,week
agua,Water
hija,daughter
haz,make
ayuda,aid
tío,uncle
auto,auto
jamás,Never
incluso,even
difícil,hard
contigo,with you
paso,step
juego,play
cuerpo,Body
demonio,evil
